"Status","Year","Parent_department","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","London","Female","3040","2795","49300","51250"
"In post","2022","Attorney General's Departments","London","Male","1765","1725","50850","51250"
"In post","2022","Attorney General's Departments","Outside London","Female","3645","3300","38950","33120"
"In post","2022","Attorney General's Departments","Outside London","Male","1750","1705","44490","48080"
"In post","2022","Attorney General's Departments","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","London","Female","3480","3410","47540","40600"
"In post","2022","Cabinet Office","London","Male","3120","3105","53180","54700"
"In post","2022","Cabinet Office","Outside London","Female","2180","2080","40250","33330"
"In post","2022","Cabinet Office","Outside London","Male","1795","1775","44720","37300"
"In post","2022","Cabinet Office","Unknown","Female","245","240","36570","32000"
"In post","2022","Cabinet Office","Unknown","Male","230","230","38310","32000"
"In post","2022","Chancellor's other departments","London","Female","155","145","55440","48900"
"In post","2022","Chancellor's other departments","London","Male","200","195","64400","56490"
"In post","2022","Chancellor's other departments","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Outside London","Female","25","25","[c]","[c]"
"In post","2022","Chancellor's other departments","Outside London","Male","35","35","49440","47000"
"In post","2022","Chancellor's other departments","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","London","Female","55","50","43990","37910"
"In post","2022","Charity Commission","London","Male","30","30","[c]","[c]"
"In post","2022","Charity Commission","Outside London","Female","230","215","31700","29160"
"In post","2022","Charity Commission","Outside London","Male","155","150","32060","29160"
"In post","2022","Competition and Markets Authority","London","Female","395","375","58500","55860"
"In post","2022","Competition and Markets Authority","London","Male","400","395","64440","59450"
"In post","2022","Competition and Markets Authority","Outside London","Female","35","35","57460","55860"
"In post","2022","Competition and Markets Authority","Outside London","Male","30","30","60410","59420"
"In post","2022","Department for Business, Energy and Industrial Strategy","London","Female","2975","2870","47620","43710"
"In post","2022","Department for Business, Energy and Industrial Strategy","London","Male","2990","2955","50080","53380"
"In post","2022","Department for Business, Energy and Industrial Strategy","Outside London","Female","4030","3710","33780","30930"
"In post","2022","Department for Business, Energy and Industrial Strategy","Outside London","Male","4055","3940","38550","36740"
"In post","2022","Department for Business, Energy and Industrial Strategy","Overseas","Female","15","15","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","Overseas","Male","15","15","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","London","Female","985","960","47130","51730"
"In post","2022","Department for Digital, Culture, Media and Sport","London","Male","800","795","48360","51730"
"In post","2022","Department for Digital, Culture, Media and Sport","Outside London","Female","115","110","40170","34020"
"In post","2022","Department for Digital, Culture, Media and Sport","Outside London","Male","115","110","42530","36600"
"In post","2022","Department for Education","London","Female","1595","1510","49420","53420"
"In post","2022","Department for Education","London","Male","940","935","51730","53420"
"In post","2022","Department for Education","Outside London","Female","3580","3395","39910","36500"
