"Status","Year","Parent_department","Responsibility_level_ungrouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","AA","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","AA","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","AA","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","AA","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","AA","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","AA","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","AA","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","AA","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","AO","Female","Heterosexual / straight","810","735","22700","22200"
"In post","2022","Attorney General's Departments","AO","Female","LGBO","45","45","22240","22200"
"In post","2022","Attorney General's Departments","AO","Female","Undeclared","40","40","22670","22200"
"In post","2022","Attorney General's Departments","AO","Female","Unknown","210","175","22910","22200"
"In post","2022","Attorney General's Departments","AO","Male","Heterosexual / straight","290","280","22840","23570"
"In post","2022","Attorney General's Departments","AO","Male","LGBO","30","30","[c]","[c]"
"In post","2022","Attorney General's Departments","AO","Male","Undeclared","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","AO","Male","Unknown","75","75","23010","23570"
"In post","2022","Attorney General's Departments","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","EO","Female","Heterosexual / straight","990","920","27670","27350"
"In post","2022","Attorney General's Departments","EO","Female","LGBO","65","60","27740","26970"
"In post","2022","Attorney General's Departments","EO","Female","Undeclared","50","50","27600","26970"
"In post","2022","Attorney General's Departments","EO","Female","Unknown","255","225","28320","28430"
"In post","2022","Attorney General's Departments","EO","Male","Heterosexual / straight","360","355","27800","27350"
"In post","2022","Attorney General's Departments","EO","Male","LGBO","40","40","27830","27440"
"In post","2022","Attorney General's Departments","EO","Male","Undeclared","30","30","28270","28430"
"In post","2022","Attorney General's Departments","EO","Male","Unknown","85","85","28280","28430"
"In post","2022","Attorney General's Departments","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","G6","Female","Heterosexual / straight","435","390","67660","66190"
"In post","2022","Attorney General's Departments","G6","Female","LGBO","25","20","[c]","[c]"
"In post","2022","Attorney General's Departments","G6","Female","Undeclared","45","40","68150","66570"
"In post","2022","Attorney General's Departments","G6","Female","Unknown","180","155","68150","66610"
"In post","2022","Attorney General's Departments","G6","Male","Heterosexual / straight","280","270","69730","67820"
"In post","2022","Attorney General's Departments","G6","Male","LGBO","40","35","69950","67870"
"In post","2022","Attorney General's Departments","G6","Male","Undeclared","25","25","[c]","[c]"
"In post","2022","Attorney General's Departments","G6","Male","Unknown","135","135","71080","67720"
"In post","2022","Attorney General's Departments","G6","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","G6","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","G7","Female","Heterosexual / straight","1780","1620","54000","53050"
"In post","2022","Attorney General's Departments","G7","Female","LGBO","60","55","54510","52440"
"In post","2022","Attorney General's Departments","G7","Female","Undeclared","80","75","54680","53050"
"In post","2022","Attorney General's Departments","G7","Female","Unknown","540","460","56640","55610"
"In post","2022","Attorney General's Departments","G7","Male","Heterosexual / straight","980","955","55320","53350"
"In post","2022","Attorney General's Departments","G7","Male","LGBO","80","80","54980","53050"
"In post","2022","Attorney General's Departments","G7","Male","Undeclared","65","60","54710","53050"
"In post","2022","Attorney General's Departments","G7","Male","Unknown","285","270","57320","55610"
"In post","2022","Attorney General's Departments","G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","HEO","Female","Heterosexual / straight","535","505","34950","33310"
"In post","2022","Attorney General's Departments","HEO","Female","LGBO","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","HEO","Female","Undeclared","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","HEO","Female","Unknown","95","90","35300","34480"
"In post","2022","Attorney General's Departments","HEO","Male","Heterosexual / straight","270","265","34500","33310"
"In post","2022","Attorney General's Departments","HEO","Male","LGBO","30","30","35850","33050"
"In post","2022","Attorney General's Departments","HEO","Male","Undeclared","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","HEO","Male","Unknown","70","70","33680","33610"
"In post","2022","Attorney General's Departments","HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","SCS level","Female","Heterosexual / straight","130","120","86960","82500"
"In post","2022","Attorney General's Departments","SCS level","Female","LGBO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","SCS level","Female","Undeclared","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","SCS level","Female","Unknown","40","40","89290","81010"
"In post","2022","Attorney General's Departments","SCS level","Male","Heterosexual / straight","80","80","90250","84600"
"In post","2022","Attorney General's Departments","SCS level","Male","LGBO","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","SCS level","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","SCS level","Male","Unknown","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","SEO","Female","Heterosexual / straight","170","165","39830","39750"
"In post","2022","Attorney General's Departments","SEO","Female","LGBO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","SEO","Female","Undeclared","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","SEO","Female","Unknown","35","35","39950","39030"
"In post","2022","Attorney General's Departments","SEO","Male","Heterosexual / straight","135","135","40380","40000"
"In post","2022","Attorney General's Departments","SEO","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","SEO","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","SEO","Male","Unknown","25","25","[c]","[c]"
"In post","2022","Attorney General's Departments","SEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","SEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","AA","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","AA","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","AA","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","AA","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","AA","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
