"Status","Year","Parent_department","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","AA","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","AO","Heterosexual / straight","1100","1015","22730","22200"
"In post","2022","Attorney General's Departments","AO","LGBO","75","75","22330","22200"
"In post","2022","Attorney General's Departments","AO","Undeclared","55","55","22450","22200"
"In post","2022","Attorney General's Departments","AO","Unknown","285","250","22940","22200"
"In post","2022","Attorney General's Departments","EO","Heterosexual / straight","1350","1275","27710","27350"
"In post","2022","Attorney General's Departments","EO","LGBO","105","100","27770","27050"
"In post","2022","Attorney General's Departments","EO","Undeclared","80","80","27850","27400"
"In post","2022","Attorney General's Departments","EO","Unknown","340","305","28310","28430"
"In post","2022","Attorney General's Departments","G6","Heterosexual / straight","710","665","68470","66610"
"In post","2022","Attorney General's Departments","G6","LGBO","60","60","69980","68180"
"In post","2022","Attorney General's Departments","G6","Undeclared","70","65","68350","66720"
"In post","2022","Attorney General's Departments","G6","Unknown","315","290","69420","67210"
"In post","2022","Attorney General's Departments","G7","Heterosexual / straight","2760","2575","54470","53050"
"In post","2022","Attorney General's Departments","G7","LGBO","140","135","54780","52890"
"In post","2022","Attorney General's Departments","G7","Undeclared","145","140","54690","53050"
"In post","2022","Attorney General's Departments","G7","Unknown","820","730","56880","55610"
"In post","2022","Attorney General's Departments","HEO","Heterosexual / straight","800","770","34800","33310"
"In post","2022","Attorney General's Departments","HEO","LGBO","50","50","35420","33050"
"In post","2022","Attorney General's Departments","HEO","Undeclared","35","35","34970","33100"
"In post","2022","Attorney General's Departments","HEO","Unknown","165","160","34630","34480"
"In post","2022","Attorney General's Departments","SCS level","Heterosexual / straight","210","200","88230","82540"
"In post","2022","Attorney General's Departments","SCS level","LGBO","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","SCS level","Undeclared","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","SCS level","Unknown","65","60","88140","81010"
"In post","2022","Attorney General's Departments","SEO","Heterosexual / straight","305","300","40080","39750"
"In post","2022","Attorney General's Departments","SEO","LGBO","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","SEO","Undeclared","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","SEO","Unknown","65","60","40170","39750"
"In post","2022","Cabinet Office","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","AO","Heterosexual / straight","325","300","21800","21050"
"In post","2022","Cabinet Office","AO","LGBO","30","30","21770","21050"
"In post","2022","Cabinet Office","AO","Undeclared","35","30","22090","21050"
"In post","2022","Cabinet Office","AO","Unknown","105","100","21770","21170"
"In post","2022","Cabinet Office","EO","Heterosexual / straight","705","680","26520","26690"
"In post","2022","Cabinet Office","EO","LGBO","75","75","26210","26670"
"In post","2022","Cabinet Office","EO","Undeclared","60","60","27170","27500"
"In post","2022","Cabinet Office","EO","Unknown","215","210","26690","27500"
"In post","2022","Cabinet Office","G6","Heterosexual / straight","605","595","66620","65000"
"In post","2022","Cabinet Office","G6","LGBO","55","55","65870","64660"
"In post","2022","Cabinet Office","G6","Undeclared","65","60","65860","64500"
"In post","2022","Cabinet Office","G6","Unknown","415","410","74200","70180"
"In post","2022","Cabinet Office","G7","Heterosexual / straight","1430","1400","54540","54700"
"In post","2022","Cabinet Office","G7","LGBO","170","170","54540","54700"
"In post","2022","Cabinet Office","G7","Undeclared","165","160","55270","54700"
"In post","2022","Cabinet Office","G7","Unknown","1105","1090","58830","55840"
"In post","2022","Cabinet Office","HEO","Heterosexual / straight","1120","1095","33550","33550"
"In post","2022","Cabinet Office","HEO","LGBO","130","130","33830","34550"
"In post","2022","Cabinet Office","HEO","Undeclared","115","115","33900","34550"
"In post","2022","Cabinet Office","HEO","Unknown","2000","1990","30370","29250"
"In post","2022","Cabinet Office","SCS level","Heterosexual / straight","440","435","97110","87780"
"In post","2022","Cabinet Office","SCS level","LGBO","20","20","[c]","[c]"
"In post","2022","Cabinet Office","SCS level","Undeclared","45","40","92960","86850"
"In post","2022","Cabinet Office","SCS level","Unknown","265","265","107730","1e+05"
"In post","2022","Cabinet Office","SEO","Heterosexual / straight","900","875","39880","40600"
"In post","2022","Cabinet Office","SEO","LGBO","85","85","39620","40600"
"In post","2022","Cabinet Office","SEO","Undeclared","90","90","40470","40600"
"In post","2022","Cabinet Office","SEO","Unknown","275","275","40060","40600"
"In post","2022","Chancellor's other departments","AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Chancellor's other departments","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","EO","Heterosexual / straight","30","25","[c]","[c]"
"In post","2022","Chancellor's other departments","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","EO","Undeclared","5","5","[c]","[c]"
"In post","2022","Chancellor's other departments","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","G6","Heterosexual / straight","95","85","90100","81240"
"In post","2022","Chancellor's other departments","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","G6","Undeclared","20","15","[c]","[c]"
"In post","2022","Chancellor's other departments","G6","Unknown","5","5","[c]","[c]"
"In post","2022","Chancellor's other departments","G7","Heterosexual / straight","55","55","55580","57250"
"In post","2022","Chancellor's other departments","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","G7","Undeclared","25","25","[c]","[c]"
"In post","2022","Chancellor's other departments","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","HEO","Heterosexual / straight","50","50","36910","36590"
"In post","2022","Chancellor's other departments","HEO","LGBO","5","5","[c]","[c]"
"In post","2022","Chancellor's other departments","HEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Chancellor's other departments","HEO","Unknown","5","5","[c]","[c]"
"In post","2022","Chancellor's other departments","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Chancellor's other departments","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2022","Chancellor's other departments","SEO","Heterosexual / straight","50","50","45060","44800"
"In post","2022","Chancellor's other departments","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","SEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Chancellor's other departments","SEO","Unknown","5","5","[c]","[c]"
"In post","2022","Charity Commission","AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Charity Commission","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","AO","Unknown","20","15","[c]","[c]"
"In post","2022","Charity Commission","EO","Heterosexual / straight","50","50","24930","24440"
"In post","2022","Charity Commission","EO","LGBO","5","5","[c]","[c]"
"In post","2022","Charity Commission","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","EO","Unknown","50","50","25360","24440"
"In post","2022","Charity Commission","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Charity Commission","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","G6","Unknown","5","5","[c]","[c]"
"In post","2022","Charity Commission","G7","Heterosexual / straight","30","30","50840","51070"
"In post","2022","Charity Commission","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","G7","Unknown","15","15","[c]","[c]"
"In post","2022","Charity Commission","HEO","Heterosexual / straight","85","80","28870","29160"
"In post","2022","Charity Commission","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","HEO","Unknown","60","55","29760","29160"
"In post","2022","Charity Commission","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","SEO","Heterosexual / straight","55","55","37590","37910"
"In post","2022","Charity Commission","SEO","LGBO","[c]","[c]","[c]","[c]"
