"Status","Year","Parent_department","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Female","Heterosexual / straight","4845","4460","42880","41490"
"In post","2022","Attorney General's Departments","Female","LGBO","230","215","40880","32810"
"In post","2022","Attorney General's Departments","Female","Undeclared","260","240","45170","48830"
"In post","2022","Attorney General's Departments","Female","Unknown","1355","1180","46670","51470"
"In post","2022","Attorney General's Departments","Male","Heterosexual / straight","2400","2345","46850","48830"
"In post","2022","Attorney General's Departments","Male","LGBO","245","240","47340","50500"
"In post","2022","Attorney General's Departments","Male","Undeclared","170","165","48220","50500"
"In post","2022","Attorney General's Departments","Male","Unknown","705","680","50530","55610"
"In post","2022","Attorney General's Departments","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Female","Heterosexual / straight","3080","2960","44830","40250"
"In post","2022","Cabinet Office","Female","LGBO","245","240","42080","38990"
"In post","2022","Cabinet Office","Female","Undeclared","270","255","45130","40600"
"In post","2022","Cabinet Office","Female","Unknown","2310","2275","43980","32320"
"In post","2022","Cabinet Office","Male","Heterosexual / straight","2440","2420","50020","43890"
"In post","2022","Cabinet Office","Male","LGBO","325","325","45700","40600"
"In post","2022","Cabinet Office","Male","Undeclared","305","300","50100","49700"
"In post","2022","Cabinet Office","Male","Unknown","2075","2065","49550","38810"
"In post","2022","Cabinet Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Female","Heterosexual / straight","145","135","55110","47520"
"In post","2022","Chancellor's other departments","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Female","Undeclared","30","25","[c]","[c]"
"In post","2022","Chancellor's other departments","Female","Unknown","5","5","[c]","[c]"
"In post","2022","Chancellor's other departments","Male","Heterosexual / straight","165","160","63910","57250"
"In post","2022","Chancellor's other departments","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Chancellor's other departments","Male","Undeclared","50","45","64440","54510"
"In post","2022","Chancellor's other departments","Male","Unknown","15","15","[c]","[c]"
"In post","2022","Chancellor's other departments","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
