"Status","Year","Profession_of_post","Region_ITL2","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Bedford","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Bedford","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Central Bedfordshire","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Central Bedfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Hertfordshire CC","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Hertfordshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Heterosexual / straight","45","45","36970","36800"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","LGBO","5","5","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Undeclared","5","5","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Heterosexual / straight","65","60","43430","41160"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Heterosexual / straight","30","25","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","Cheshire East","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Commercial","Cheshire","Cheshire East","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","Cheshire West and Chester","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","Cheshire West and Chester","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","Cheshire West and Chester","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","Warrington","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Commercial","Cheshire","Warrington","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","Warrington","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","Warrington","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cumbria","East Cumbria","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cumbria","East Cumbria","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cumbria","West Cumbria","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Commercial","Cumbria","West Cumbria","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cumbria","West Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","East Derbyshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","East Derbyshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","North Nottinghamshire","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","North Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","North Nottinghamshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","North Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","Nottingham","Heterosexual / straight","35","30","41730","38550"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","Nottingham","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","Nottingham","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","Nottingham","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","South and West Derbyshire","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","South and West Derbyshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","South and West Derbyshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","South and West Derbyshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","South Nottinghamshire","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","South Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Devon","Devon CC","Heterosexual / straight","170","160","44220","45150"
"In post","2022","Commercial","Devon","Devon CC","LGBO","5","5","[c]","[c]"
"In post","2022","Commercial","Devon","Devon CC","Undeclared","25","20","[c]","[c]"
"In post","2022","Commercial","Devon","Devon CC","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","Devon","Plymouth","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Commercial","Devon","Plymouth","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Devon","Plymouth","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Devon","Plymouth","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Devon","Torbay","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Devon","Torbay","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Dorset and Somerset","Bournemouth, Christchurch and Poole","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Dorset and Somerset","Bournemouth, Christchurch and Poole","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Dorset and Somerset","Bournemouth, Christchurch and Poole","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Dorset and Somerset","Dorset","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Commercial","Dorset and Somerset","Dorset","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Dorset and Somerset","Dorset","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Dorset and Somerset","Somerset CC","Heterosexual / straight","85","80","41080","42380"
"In post","2022","Commercial","Dorset and Somerset","Somerset CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Dorset and Somerset","Somerset CC","Undeclared","15","15","[c]","[c]"
"In post","2022","Commercial","Dorset and Somerset","Somerset CC","Unknown","20","20","[c]","[c]"
"In post","2022","Commercial","East Anglia","Breckland and South Norfolk","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Anglia","Breckland and South Norfolk","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Anglia","Cambridgeshire CC","Heterosexual / straight","35","35","33540","33150"
"In post","2022","Commercial","East Anglia","Cambridgeshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Anglia","Cambridgeshire CC","Undeclared","10","10","[c]","[c]"
"In post","2022","Commercial","East Anglia","Cambridgeshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Anglia","North and West Norfolk","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Anglia","North and West Norfolk","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Anglia","Norwich and East Norfolk","Heterosexual / straight","50","50","36190","38330"
"In post","2022","Commercial","East Anglia","Norwich and East Norfolk","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Anglia","Norwich and East Norfolk","Undeclared","5","5","[c]","[c]"
"In post","2022","Commercial","East Anglia","Norwich and East Norfolk","Unknown","15","10","[c]","[c]"
"In post","2022","Commercial","East Anglia","Peterborough","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Commercial","East Anglia","Peterborough","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Anglia","Peterborough","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Anglia","Peterborough","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Anglia","Suffolk CC","Heterosexual / straight","15","10","[c]","[c]"
"In post","2022","Commercial","East Anglia","Suffolk CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Anglia","Suffolk CC","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Anglia","Suffolk CC","Unknown","10","10","[c]","[c]"
"In post","2022","Commercial","East Wales","Cardiff and Vale of Glamorgan","Heterosexual / straight","35","35","41760","36150"
"In post","2022","Commercial","East Wales","Cardiff and Vale of Glamorgan","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Wales","Cardiff and Vale of Glamorgan","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Wales","Cardiff and Vale of Glamorgan","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","East Wales","Flintshire and Wrexham","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Commercial","East Wales","Flintshire and Wrexham","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Wales","Flintshire and Wrexham","Undeclared","15","15","[c]","[c]"
"In post","2022","Commercial","East Wales","Flintshire and Wrexham","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Wales","Monmouthshire and Newport","Heterosexual / straight","75","75","36120","31250"
"In post","2022","Commercial","East Wales","Monmouthshire and Newport","LGBO","5","5","[c]","[c]"
"In post","2022","Commercial","East Wales","Monmouthshire and Newport","Undeclared","5","5","[c]","[c]"
"In post","2022","Commercial","East Wales","Monmouthshire and Newport","Unknown","15","15","[c]","[c]"
"In post","2022","Commercial","East Wales","Powys","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Wales","Powys","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Wales","Powys","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","North and North East Lincolnshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","North and North East Lincolnshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","Angus and Dundee City","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","Angus and Dundee City","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","City of Edinburgh","Heterosexual / straight","35","35","41790","37710"
"In post","2022","Commercial","Eastern Scotland","City of Edinburgh","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","City of Edinburgh","Unknown","25","25","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","Clackmannanshire and Fife","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","Clackmannanshire and Fife","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","Clackmannanshire and Fife","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","Clackmannanshire and Fife","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","Falkirk","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","Falkirk","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","Falkirk","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","Perth and Kinross, and Stirling","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","Perth and Kinross, and Stirling","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","Perth and Kinross, and Stirling","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","West Lothian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","West Lothian","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","West Lothian","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","Essex","Heart of Essex","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Essex","Heart of Essex","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Essex","West Essex","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Essex","West Essex","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Essex","West Essex","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","925","890","39840","37400"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","40","40","35060","32710"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","130","125","42580","39510"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","95","95","37210","34260"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","Heterosexual / straight","50","50","38600","36620"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","Undeclared","10","10","[c]","[c]"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","Unknown","20","15","[c]","[c]"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire CC","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire CC","Undeclared","5","5","[c]","[c]"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","Heterosexual / straight","140","135","34590","34500"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","Undeclared","15","10","[c]","[c]"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","Unknown","45","45","33630","32290"
"In post","2022","Commercial","Greater Manchester","Greater Manchester North East","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Greater Manchester","Greater Manchester North East","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Greater Manchester","Greater Manchester North West","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Greater Manchester","Greater Manchester North West","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Greater Manchester","Greater Manchester South West","Heterosexual / straight","50","50","42790","40520"
"In post","2022","Commercial","Greater Manchester","Greater Manchester South West","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Greater Manchester","Greater Manchester South West","Undeclared","10","5","[c]","[c]"
"In post","2022","Commercial","Greater Manchester","Greater Manchester South West","Unknown","25","25","[c]","[c]"
"In post","2022","Commercial","Greater Manchester","Manchester","Heterosexual / straight","115","115","40100","36500"
"In post","2022","Commercial","Greater Manchester","Manchester","LGBO","10","10","[c]","[c]"
"In post","2022","Commercial","Greater Manchester","Manchester","Undeclared","10","10","[c]","[c]"
"In post","2022","Commercial","Greater Manchester","Manchester","Unknown","15","15","[c]","[c]"
"In post","2022","Commercial","Hampshire and Isle of Wight","Central Hampshire","Heterosexual / straight","90","85","35170","34800"
"In post","2022","Commercial","Hampshire and Isle of Wight","Central Hampshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Hampshire and Isle of Wight","Central Hampshire","Undeclared","15","15","[c]","[c]"
"In post","2022","Commercial","Hampshire and Isle of Wight","Central Hampshire","Unknown","35","35","31560","29230"
"In post","2022","Commercial","Hampshire and Isle of Wight","Isle of Wight","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Hampshire and Isle of Wight","Isle of Wight","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Hampshire and Isle of Wight","Isle of Wight","Undeclared","[c]","[c]","[c]","[c]"
