"Status","Year","Profession_of_post","Region_ITL2","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","AO","10","10","22020","21660"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","EO","EO","30","30","26520","26230"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","G7","20","20","57700","56690"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","HEO","45","45","33400","33910"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","SEO","60","60","42230","42080"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Commercial","Cheshire","SEO/HEO","HEO","10","5","[c]","[c]"
"In post","2022","Commercial","Cheshire","SEO/HEO","SEO","10","10","38950","39070"
"In post","2022","Commercial","Cornwall and Isles of Scilly","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cumbria","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cumbria","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cumbria","Unknown","Unknown","15","15","41220","38240"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","EO","EO","15","15","26620","26480"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","G6/G7","G7","20","20","54010","52620"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","SEO/HEO","HEO","15","15","31940","31660"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","SEO/HEO","SEO","25","25","40810","39590"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Devon","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Devon","EO","EO","15","15","25500","25630"
"In post","2022","Commercial","Devon","G6/G7","G6","35","35","60630","60490"
"In post","2022","Commercial","Devon","G6/G7","G7","80","75","48180","47960"
"In post","2022","Commercial","Devon","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Devon","SEO/HEO","HEO","35","35","32670","32730"
"In post","2022","Commercial","Devon","SEO/HEO","SEO","60","55","38470","38200"
"In post","2022","Commercial","Devon","Unknown","Unknown","10","10","[c]","[c]"
"In post","2022","Commercial","Dorset and Somerset","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Dorset and Somerset","EO","EO","15","15","26180","26540"
"In post","2022","Commercial","Dorset and Somerset","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Commercial","Dorset and Somerset","G6/G7","G7","15","15","54770","53720"
"In post","2022","Commercial","Dorset and Somerset","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Dorset and Somerset","SEO/HEO","HEO","40","35","33050","33290"
"In post","2022","Commercial","Dorset and Somerset","SEO/HEO","SEO","45","45","43030","42510"
"In post","2022","Commercial","East Anglia","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","Commercial","East Anglia","EO","EO","20","15","26640","26350"
"In post","2022","Commercial","East Anglia","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Commercial","East Anglia","G6/G7","G7","10","10","52910","49430"
"In post","2022","Commercial","East Anglia","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Anglia","SEO/HEO","HEO","60","60","31970","31250"
"In post","2022","Commercial","East Anglia","SEO/HEO","SEO","80","75","41060","40580"
"In post","2022","Commercial","East Anglia","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Wales","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Wales","EO","EO","35","35","27210","26670"
"In post","2022","Commercial","East Wales","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Commercial","East Wales","G6/G7","G7","20","20","53120","51210"
"In post","2022","Commercial","East Wales","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Wales","SEO/HEO","HEO","60","60","31990","31250"
"In post","2022","Commercial","East Wales","SEO/HEO","SEO","40","40","39570","39360"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","AA/AO","AA","15","15","21640","21640"
"In post","2022","Commercial","Eastern Scotland","AA/AO","AO","25","20","25820","26900"
"In post","2022","Commercial","Eastern Scotland","EO","EO","15","15","29620","29550"
"In post","2022","Commercial","Eastern Scotland","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","G6/G7","G7","10","10","53230","54170"
"In post","2022","Commercial","Eastern Scotland","SEO/HEO","HEO","20","20","36970","37710"
"In post","2022","Commercial","Eastern Scotland","SEO/HEO","SEO","10","10","45090","46060"
"In post","2022","Commercial","Eastern Scotland","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","Essex","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","AO","30","30","21230","21170"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","EO","EO","210","195","24710","26000"
