"Status","Year","Profession_of_post","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Female","5","5","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Male","10","10","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Female","95","90","37490","35000"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Male","85","85","40150","40000"
"In post","2022","Commercial","Cheshire","Female","20","20","[c]","[c]"
"In post","2022","Commercial","Cheshire","Male","5","5","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cumbria","Female","10","10","[c]","[c]"
"In post","2022","Commercial","Cumbria","Male","10","10","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","Female","55","50","40010","38550"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","Male","35","35","45710","44330"
"In post","2022","Commercial","Devon","Female","130","125","41650","38830"
"In post","2022","Commercial","Devon","Male","100","100","45550","45810"
"In post","2022","Commercial","Dorset and Somerset","Female","70","65","39280","34610"
"In post","2022","Commercial","Dorset and Somerset","Male","60","60","43160","42510"
"In post","2022","Commercial","East Anglia","Female","105","100","36620","36110"
"In post","2022","Commercial","East Anglia","Male","80","75","39700","37190"
"In post","2022","Commercial","East Wales","Female","80","80","36540","31990"
"In post","2022","Commercial","East Wales","Male","90","85","38350","33660"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","Female","5","5","[c]","[c]"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","Female","45","40","31740","27020"
"In post","2022","Commercial","Eastern Scotland","Male","60","60","36580","33730"
"In post","2022","Commercial","Essex","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Essex","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Female","795","745","37120","34800"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Male","695","680","41130","38240"
"In post","2022","Commercial","Greater Manchester","Female","135","130","38970","36780"
"In post","2022","Commercial","Greater Manchester","Male","105","105","39460","36500"
"In post","2022","Commercial","Hampshire and Isle of Wight","Female","150","140","35200","34800"
"In post","2022","Commercial","Hampshire and Isle of Wight","Male","95","95","37640","34800"
"In post","2022","Commercial","Herefordshire, Worcestershire and Warwickshire","Female","10","10","[c]","[c]"
"In post","2022","Commercial","Herefordshire, Worcestershire and Warwickshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Highlands and Islands","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Highlands and Islands","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Inner London - East","Female","50","45","41910","41750"
"In post","2022","Commercial","Inner London - East","Male","55","55","50480","47650"
"In post","2022","Commercial","Inner London - West","Female","435","420","45910","41750"
"In post","2022","Commercial","Inner London - West","Male","380","375","49920","45600"
"In post","2022","Commercial","Kent","Female","10","10","[c]","[c]"
"In post","2022","Commercial","Kent","Male","5","5","[c]","[c]"
"In post","2022","Commercial","Lancashire","Female","50","45","36830","32080"
"In post","2022","Commercial","Lancashire","Male","15","15","[c]","[c]"
"In post","2022","Commercial","Leicestershire, Rutland and Northamptonshire","Female","10","10","[c]","[c]"
"In post","2022","Commercial","Leicestershire, Rutland and Northamptonshire","Male","10","10","[c]","[c]"
"In post","2022","Commercial","Lincolnshire","Female","10","10","[c]","[c]"
"In post","2022","Commercial","Lincolnshire","Male","10","10","[c]","[c]"
"In post","2022","Commercial","Merseyside","Female","170","160","33790","30940"
"In post","2022","Commercial","Merseyside","Male","110","105","36750","38330"
"In post","2022","Commercial","North Eastern Scotland","Female","5","5","[c]","[c]"
"In post","2022","Commercial","North Eastern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North Yorkshire","Female","35","30","38240","37690"
"In post","2022","Commercial","North Yorkshire","Male","20","20","[c]","[c]"
"In post","2022","Commercial","Northern Ireland","Female","5","5","[c]","[c]"
"In post","2022","Commercial","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Northumberland, and Tyne and Wear","Female","45","40","35870","34290"
"In post","2022","Commercial","Northumberland, and Tyne and Wear","Male","40","40","39340","36500"
"In post","2022","Commercial","Outer London - East and North East","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Outer London - East and North East","Male","5","5","[c]","[c]"
"In post","2022","Commercial","Outer London - South","Female","70","70","42780","41950"
"In post","2022","Commercial","Outer London - South","Male","40","40","43920","42060"
"In post","2022","Commercial","Outer London - West and North West","Female","25","25","[c]","[c]"
"In post","2022","Commercial","Outer London - West and North West","Male","40","35","37950","34770"
"In post","2022","Commercial","Overseas","Female","10","10","[c]","[c]"
"In post","2022","Commercial","Overseas","Male","30","30","52140","51040"
"In post","2022","Commercial","Shropshire and Staffordshire","Female","80","75","37490","34500"
"In post","2022","Commercial","Shropshire and Staffordshire","Male","40","40","39770","33080"
"In post","2022","Commercial","South Yorkshire","Female","140","130","35530","33170"
"In post","2022","Commercial","South Yorkshire","Male","115","110","35710","35310"
"In post","2022","Commercial","Southern Scotland","Female","30","30","39420","39630"
"In post","2022","Commercial","Southern Scotland","Male","15","15","[c]","[c]"
"In post","2022","Commercial","Surrey, East and West Sussex","Female","20","20","[c]","[c]"
"In post","2022","Commercial","Surrey, East and West Sussex","Male","15","15","[c]","[c]"
"In post","2022","Commercial","Tees Valley and Durham","Female","55","50","36760","36500"
"In post","2022","Commercial","Tees Valley and Durham","Male","45","45","41320","37100"
"In post","2022","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","West Central Scotland","Female","60","60","33490","33000"
"In post","2022","Commercial","West Central Scotland","Male","70","70","34310","33000"
"In post","2022","Commercial","West Midlands","Female","80","75","38970","36780"
"In post","2022","Commercial","West Midlands","Male","70","70","36760","36420"
"In post","2022","Commercial","West Wales and The Valleys","Female","105","95","33230","31040"
"In post","2022","Commercial","West Wales and The Valleys","Male","95","95","33280","30730"
"In post","2022","Commercial","West Yorkshire","Female","180","170","41500","36820"
"In post","2022","Commercial","West Yorkshire","Male","130","125","41530","36890"
"In post","2022","Communications","Bedfordshire and Hertfordshire","Female","10","10","[c]","[c]"
"In post","2022","Communications","Bedfordshire and Hertfordshire","Male","10","10","[c]","[c]"
"In post","2022","Communications","Berkshire, Buckinghamshire and Oxfordshire","Female","35","35","35160","33000"
"In post","2022","Communications","Berkshire, Buckinghamshire and Oxfordshire","Male","45","45","33340","33000"
"In post","2022","Communications","Cheshire","Female","10","10","[c]","[c]"
"In post","2022","Communications","Cheshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Cornwall and Isles of Scilly","Female","5","5","[c]","[c]"
"In post","2022","Communications","Cornwall and Isles of Scilly","Male","5","5","[c]","[c]"
"In post","2022","Communications","Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Cumbria","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Derbyshire and Nottinghamshire","Female","55","50","39970","40180"
"In post","2022","Communications","Derbyshire and Nottinghamshire","Male","25","25","[c]","[c]"
"In post","2022","Communications","Devon","Female","30","25","[c]","[c]"
"In post","2022","Communications","Devon","Male","20","20","[c]","[c]"
"In post","2022","Communications","Dorset and Somerset","Female","30","25","[c]","[c]"
"In post","2022","Communications","Dorset and Somerset","Male","25","25","[c]","[c]"
"In post","2022","Communications","East Anglia","Female","25","25","[c]","[c]"
"In post","2022","Communications","East Anglia","Male","25","25","[c]","[c]"
"In post","2022","Communications","East Wales","Female","165","150","39650","38160"
"In post","2022","Communications","East Wales","Male","110","110","40330","38160"
"In post","2022","Communications","East Yorkshire and Northern Lincolnshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Communications","East Yorkshire and Northern Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Eastern Scotland","Female","30","30","[c]","[c]"
"In post","2022","Communications","Eastern Scotland","Male","15","15","[c]","[c]"
"In post","2022","Communications","Essex","Female","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Essex","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","Female","105","95","35920","33660"
"In post","2022","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","Male","90","85","37510","35700"
"In post","2022","Communications","Greater Manchester","Female","65","60","35290","32010"
"In post","2022","Communications","Greater Manchester","Male","40","40","34200","30270"
"In post","2022","Communications","Hampshire and Isle of Wight","Female","100","95","34750","33000"
"In post","2022","Communications","Hampshire and Isle of Wight","Male","70","70","33090","31860"
"In post","2022","Communications","Herefordshire, Worcestershire and Warwickshire","Female","10","10","[c]","[c]"
"In post","2022","Communications","Herefordshire, Worcestershire and Warwickshire","Male","5","5","[c]","[c]"
"In post","2022","Communications","Highlands and Islands","Female","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Highlands and Islands","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Inner London - East","Female","150","140","45050","40450"
"In post","2022","Communications","Inner London - East","Male","95","95","50630","44310"
