"Status","Year","Profession_of_post","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","Aberdeen City and Aberdeenshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Aberdeen City and Aberdeenshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Aberdeen City and Aberdeenshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Angus and Dundee City","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Antrim and Newtownabbey","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barking & Dagenham and Havering","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnet","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnet","G6/G7","5","5","[c]","[c]"
"In post","2022","Commercial","Barnet","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Commercial","Barnet","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnsley, Doncaster and Rotherham","EO","5","5","[c]","[c]"
"In post","2022","Commercial","Barnsley, Doncaster and Rotherham","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","5","5","[c]","[c]"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","150","145","24170","24000"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","210","200","58410","55000"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS level","20","15","105120","103620"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","680","655","35730","35040"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","130","125","40540","37500"
"In post","2022","Commercial","Bedford","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedford","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Belfast","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire","SEO/HEO","10","10","38730","38940"
"In post","2022","Commercial","Bexley and Greenwich","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bexley and Greenwich","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bexley and Greenwich","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Birmingham","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Birmingham","EO","15","15","26720","25520"
"In post","2022","Commercial","Birmingham","G6/G7","10","10","55820","53380"
"In post","2022","Commercial","Birmingham","SEO/HEO","45","45","36220","35900"
"In post","2022","Commercial","Birmingham","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","Blackburn with Darwen","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Blackpool","EO","10","10","27570","27570"
"In post","2022","Commercial","Blackpool","G6/G7","10","10","[c]","[c]"
"In post","2022","Commercial","Blackpool","SEO/HEO","20","20","33830","32250"
"In post","2022","Commercial","Bournemouth, Christchurch and Poole","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bournemouth, Christchurch and Poole","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bournemouth, Christchurch and Poole","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bradford","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Breckland and South Norfolk","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Brent","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bridgend and Neath Port Talbot","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bridgend and Neath Port Talbot","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Brighton and Hove","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bristol, City of","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bristol, City of","EO","10","10","[c]","[c]"
"In post","2022","Commercial","Bristol, City of","G6/G7","10","10","58080","54940"
"In post","2022","Commercial","Bristol, City of","SEO/HEO","55","50","36630","36780"
"In post","2022","Commercial","Bristol, City of","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Buckinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Buckinghamshire","EO","10","10","26700","25970"
"In post","2022","Commercial","Buckinghamshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Buckinghamshire","SEO/HEO","45","45","39540","42000"
"In post","2022","Commercial","Calderdale and Kirklees","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cambridgeshire CC","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cambridgeshire CC","EO","10","10","26520","26670"
"In post","2022","Commercial","Cambridgeshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cambridgeshire CC","SEO/HEO","35","35","37710","34800"
"In post","2022","Commercial","Camden and City of London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Camden and City of London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cardiff and Vale of Glamorgan","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cardiff and Vale of Glamorgan","EO","5","5","[c]","[c]"
"In post","2022","Commercial","Cardiff and Vale of Glamorgan","G6/G7","15","15","59000","56150"
"In post","2022","Commercial","Cardiff and Vale of Glamorgan","SEO/HEO","25","20","35830","34290"
"In post","2022","Commercial","Central Bedfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Central Bedfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Central Bedfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Central Hampshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Central Hampshire","EO","40","40","25990","26350"
"In post","2022","Commercial","Central Hampshire","G6/G7","5","5","[c]","[c]"
"In post","2022","Commercial","Central Hampshire","SEO/HEO","95","90","37770","38070"
"In post","2022","Commercial","Central Valleys","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Central Valleys","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire East","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire East","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire West and Chester","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Chorley and West Lancashire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Chorley and West Lancashire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Chorley and West Lancashire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","City of Edinburgh","AA/AO","15","15","23480","22000"
"In post","2022","Commercial","City of Edinburgh","EO","10","10","29620","29550"
"In post","2022","Commercial","City of Edinburgh","G6/G7","10","10","58780","57960"
"In post","2022","Commercial","City of Edinburgh","SEO/HEO","25","20","40390","37710"
"In post","2022","Commercial","Clackmannanshire and Fife","AA/AO","5","5","[c]","[c]"
"In post","2022","Commercial","Clackmannanshire and Fife","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Clackmannanshire and Fife","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Clackmannanshire and Fife","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","Conwy and Denbighshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Coventry","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Coventry","G6/G7","15","15","50750","50210"
"In post","2022","Commercial","Coventry","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Coventry","SEO/HEO","40","40","35560","36500"
"In post","2022","Commercial","Coventry","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Croydon","AA/AO","10","10","26390","27060"
"In post","2022","Commercial","Croydon","EO","20","20","29930","30110"
"In post","2022","Commercial","Croydon","G6/G7","15","15","68810","68240"
