"Status","Year","Profession_of_post","Region_london","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","London","AA/AO","Female","30","30","23810","23340"
"In post","2022","Commercial","London","AA/AO","Male","25","25","[c]","[c]"
"In post","2022","Commercial","London","EO","Female","75","70","29070","29200"
"In post","2022","Commercial","London","EO","Male","45","45","29010","28650"
"In post","2022","Commercial","London","G6/G7","Female","160","155","59720","55340"
"In post","2022","Commercial","London","G6/G7","Male","180","175","62150","61110"
"In post","2022","Commercial","London","SCS level","Female","25","25","[c]","[c]"
"In post","2022","Commercial","London","SCS level","Male","30","30","83110","80180"
"In post","2022","Commercial","London","SEO/HEO","Female","290","285","39560","40650"
"In post","2022","Commercial","London","SEO/HEO","Male","240","235","40800","40650"
"In post","2022","Commercial","London","Unknown","Female","5","5","[c]","[c]"
"In post","2022","Commercial","London","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Outside London","AA/AO","Female","140","125","22130","21280"
"In post","2022","Commercial","Outside London","AA/AO","Male","125","115","22620","21640"
"In post","2022","Commercial","Outside London","EO","Female","485","450","26040","26350"
"In post","2022","Commercial","Outside London","EO","Male","300","295","26140","26350"
"In post","2022","Commercial","Outside London","G6/G7","Female","430","410","55750","53500"
"In post","2022","Commercial","Outside London","G6/G7","Male","450","440","57630","54600"
"In post","2022","Commercial","Outside London","SCS level","Female","20","20","[c]","[c]"
"In post","2022","Commercial","Outside London","SCS level","Male","30","30","91010","84510"
"In post","2022","Commercial","Outside London","SEO/HEO","Female","1635","1550","36260","36460"
"In post","2022","Commercial","Outside London","SEO/HEO","Male","1245","1230","36910","36780"
"In post","2022","Commercial","Outside London","Unknown","Female","90","90","37650","37400"
"In post","2022","Commercial","Outside London","Unknown","Male","100","100","41880","39860"
"In post","2022","Commercial","Overseas","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","G6/G7","Male","10","10","[c]","[c]"
"In post","2022","Commercial","Overseas","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2022","Commercial","Overseas","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2022","Commercial","Unknown","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","London","AA/AO","Female","40","35","23740","23720"
"In post","2022","Communications","London","AA/AO","Male","25","25","[c]","[c]"
"In post","2022","Communications","London","EO","Female","165","165","28570","28310"
"In post","2022","Communications","London","EO","Male","95","95","28740","28210"
"In post","2022","Communications","London","G6/G7","Female","445","425","59450","57460"
"In post","2022","Communications","London","G6/G7","Male","285","285","60480","58990"
"In post","2022","Communications","London","SCS level","Female","50","50","89100","85260"
"In post","2022","Communications","London","SCS level","Male","45","45","92510","89210"
"In post","2022","Communications","London","SEO/HEO","Female","625","610","39380","39020"
"In post","2022","Communications","London","SEO/HEO","Male","430","430","39860","40060"
"In post","2022","Communications","London","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Communications","London","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Outside London","AA/AO","Female","80","75","21580","21260"
"In post","2022","Communications","Outside London","AA/AO","Male","65","65","21630","21380"
"In post","2022","Communications","Outside London","EO","Female","180","165","26830","26670"
"In post","2022","Communications","Outside London","EO","Male","160","155","27290","26780"
"In post","2022","Communications","Outside London","G6/G7","Female","210","200","55810","55210"
"In post","2022","Communications","Outside London","G6/G7","Male","135","135","56280","54970"
"In post","2022","Communications","Outside London","SCS level","Female","10","10","[c]","[c]"
"In post","2022","Communications","Outside London","SCS level","Male","5","5","[c]","[c]"
"In post","2022","Communications","Outside London","SEO/HEO","Female","660","620","36320","36740"
"In post","2022","Communications","Outside London","SEO/HEO","Male","420","415","36440","36460"
"In post","2022","Communications","Outside London","Unknown","Female","5","5","[c]","[c]"
"In post","2022","Communications","Outside London","Unknown","Male","5","5","[c]","[c]"
"In post","2022","Communications","Overseas","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","London","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","London","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","London","G6/G7","Female","5","5","[c]","[c]"
"In post","2022","Corporate Finance","London","G6/G7","Male","15","15","[c]","[c]"
"In post","2022","Corporate Finance","London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","London","SCS level","Male","5","5","[c]","[c]"
"In post","2022","Corporate Finance","London","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2022","Corporate Finance","London","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","AA/AO","Female","[c]","[c]","[c]","[c]"
