"Status","Year","Profession_of_post","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","AA/AO","Female","Heterosexual / straight","95","85","22210","21260"
"In post","2022","Commercial","AA/AO","Female","LGBO","10","10","[c]","[c]"
"In post","2022","Commercial","AA/AO","Female","Undeclared","15","15","[c]","[c]"
"In post","2022","Commercial","AA/AO","Female","Unknown","50","45","23080","21900"
"In post","2022","Commercial","AA/AO","Male","Heterosexual / straight","75","70","22740","21660"
"In post","2022","Commercial","AA/AO","Male","LGBO","5","5","[c]","[c]"
"In post","2022","Commercial","AA/AO","Male","Undeclared","20","20","[c]","[c]"
"In post","2022","Commercial","AA/AO","Male","Unknown","50","45","23060","21640"
"In post","2022","Commercial","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","EO","Female","Heterosexual / straight","390","360","26320","26350"
"In post","2022","Commercial","EO","Female","LGBO","30","30","[c]","[c]"
"In post","2022","Commercial","EO","Female","Undeclared","50","45","26500","26780"
"In post","2022","Commercial","EO","Female","Unknown","95","90","26990","26670"
"In post","2022","Commercial","EO","Male","Heterosexual / straight","230","225","26280","26350"
"In post","2022","Commercial","EO","Male","LGBO","20","20","[c]","[c]"
"In post","2022","Commercial","EO","Male","Undeclared","30","25","[c]","[c]"
"In post","2022","Commercial","EO","Male","Unknown","65","65","26740","26670"
"In post","2022","Commercial","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Female","Heterosexual / straight","450","430","57130","54110"
"In post","2022","Commercial","G6/G7","Female","LGBO","20","20","[c]","[c]"
"In post","2022","Commercial","G6/G7","Female","Undeclared","65","60","56740","54790"
"In post","2022","Commercial","G6/G7","Female","Unknown","55","55","54960","52110"
"In post","2022","Commercial","G6/G7","Male","Heterosexual / straight","445","440","59110","57170"
"In post","2022","Commercial","G6/G7","Male","LGBO","30","30","[c]","[c]"
"In post","2022","Commercial","G6/G7","Male","Undeclared","80","80","58760","54330"
"In post","2022","Commercial","G6/G7","Male","Unknown","80","80","59880","58020"
"In post","2022","Commercial","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS level","Female","Heterosexual / straight","35","35","87780","78850"
"In post","2022","Commercial","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS level","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Commercial","SCS level","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS level","Male","Heterosexual / straight","50","50","85950","80240"
"In post","2022","Commercial","SCS level","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS level","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","Commercial","SCS level","Male","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Female","Heterosexual / straight","1445","1375","36680","36500"
"In post","2022","Commercial","SEO/HEO","Female","LGBO","65","60","36330","35310"
"In post","2022","Commercial","SEO/HEO","Female","Undeclared","195","185","37640","37530"
"In post","2022","Commercial","SEO/HEO","Female","Unknown","235","220","36700","36780"
"In post","2022","Commercial","SEO/HEO","Male","Heterosexual / straight","1075","1055","37650","37400"
"In post","2022","Commercial","SEO/HEO","Male","LGBO","75","75","36680","36780"
"In post","2022","Commercial","SEO/HEO","Male","Undeclared","165","160","38320","39360"
"In post","2022","Commercial","SEO/HEO","Male","Unknown","195","190","37170","37250"
"In post","2022","Commercial","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Female","Heterosexual / straight","85","80","37520","37400"
"In post","2022","Commercial","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Commercial","Unknown","Female","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","Unknown","Male","Heterosexual / straight","75","75","42860","40960"
"In post","2022","Commercial","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Male","Undeclared","15","15","[c]","[c]"
"In post","2022","Commercial","Unknown","Male","Unknown","10","10","[c]","[c]"
"In post","2022","Commercial","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","Female","Heterosexual / straight","80","70","22260","21500"
"In post","2022","Communications","AA/AO","Female","LGBO","5","5","[c]","[c]"
"In post","2022","Communications","AA/AO","Female","Undeclared","15","15","[c]","[c]"
"In post","2022","Communications","AA/AO","Female","Unknown","20","20","[c]","[c]"
"In post","2022","Communications","AA/AO","Male","Heterosexual / straight","65","65","22400","21550"
"In post","2022","Communications","AA/AO","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Communications","AA/AO","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Communications","AA/AO","Male","Unknown","5","5","[c]","[c]"
"In post","2022","Communications","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Female","Heterosexual / straight","220","205","27590","26970"
"In post","2022","Communications","EO","Female","LGBO","20","20","[c]","[c]"
"In post","2022","Communications","EO","Female","Undeclared","55","55","27630","27270"
"In post","2022","Communications","EO","Female","Unknown","50","50","28310","28500"
"In post","2022","Communications","EO","Male","Heterosexual / straight","165","160","27880","27460"
"In post","2022","Communications","EO","Male","LGBO","15","15","[c]","[c]"
"In post","2022","Communications","EO","Male","Undeclared","35","35","27580","27270"
"In post","2022","Communications","EO","Male","Unknown","40","40","28070","28040"
"In post","2022","Communications","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Female","Heterosexual / straight","450","425","58210","56660"
"In post","2022","Communications","G6/G7","Female","LGBO","25","25","[c]","[c]"
"In post","2022","Communications","G6/G7","Female","Undeclared","75","75","59060","57650"
"In post","2022","Communications","G6/G7","Female","Unknown","110","105","57750","56120"
"In post","2022","Communications","G6/G7","Male","Heterosexual / straight","270","265","59650","57790"
"In post","2022","Communications","G6/G7","Male","LGBO","35","35","57360","56880"
"In post","2022","Communications","G6/G7","Male","Undeclared","55","55","58060","55580"
"In post","2022","Communications","G6/G7","Male","Unknown","70","65","58640","57430"
"In post","2022","Communications","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS level","Female","Heterosexual / straight","45","40","86220","81760"
"In post","2022","Communications","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS level","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Communications","SCS level","Female","Unknown","10","10","[c]","[c]"
"In post","2022","Communications","SCS level","Male","Heterosexual / straight","30","30","89940","81040"
"In post","2022","Communications","SCS level","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS level","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","Communications","SCS level","Male","Unknown","10","10","[c]","[c]"
"In post","2022","Communications","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Female","Heterosexual / straight","905","865","37810","37710"
"In post","2022","Communications","SEO/HEO","Female","LGBO","65","60","37880","37160"
"In post","2022","Communications","SEO/HEO","Female","Undeclared","100","95","37920","37670"
"In post","2022","Communications","SEO/HEO","Female","Unknown","225","215","37700","37910"
"In post","2022","Communications","SEO/HEO","Male","Heterosexual / straight","515","510","38240","38160"
"In post","2022","Communications","SEO/HEO","Male","LGBO","75","70","38100","37610"
"In post","2022","Communications","SEO/HEO","Male","Undeclared","95","90","38110","38160"
"In post","2022","Communications","SEO/HEO","Male","Unknown","175","175","38040","38070"
"In post","2022","Communications","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Communications","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","AA/AO","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","AA/AO","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","AA/AO","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","AA/AO","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","AA/AO","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","AA/AO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","AA/AO","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","AA/AO","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","EO","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Corporate Finance","EO","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","EO","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","EO","Female","Unknown","5","5","[c]","[c]"
"In post","2022","Corporate Finance","EO","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","EO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","EO","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","EO","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","G6/G7","Female","Heterosexual / straight","10","10","[c]","[c]"
