"Status","Year","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","AA/AO","320","295","22560","21640"
"In post","2022","Commercial","EO","905","860","26470","26350"
"In post","2022","Commercial","G6/G7","1230","1195","57970","54700"
"In post","2022","Commercial","SCS level","105","105","87010","79580"
"In post","2022","Commercial","SEO/HEO","3440","3330","37140","36820"
"In post","2022","Commercial","Unknown","195","195","39900","38240"
"In post","2022","Communications","AA/AO","210","200","22310","21830"
"In post","2022","Communications","EO","600","575","27740","27270"
"In post","2022","Communications","G6/G7","1085","1050","58600","57430"
"In post","2022","Communications","SCS level","110","110","88830","83450"
"In post","2022","Communications","SEO/HEO","2150","2085","37950","37910"
"In post","2022","Communications","Unknown","15","15","36710","31420"
"In post","2022","Corporate Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","EO","15","15","26290","26500"
"In post","2022","Corporate Finance","G6/G7","55","55","58710","57480"
"In post","2022","Corporate Finance","SCS level","10","10","98840","94550"
"In post","2022","Corporate Finance","SEO/HEO","60","55","37670","38060"
"In post","2022","Counter Fraud","AA/AO","1490","1275","22500","21260"
"In post","2022","Counter Fraud","EO","3620","3245","28150","27570"
"In post","2022","Counter Fraud","G6/G7","165","165","59870","58700"
"In post","2022","Counter Fraud","SCS level","10","10","89430","80000"
"In post","2022","Counter Fraud","SEO/HEO","1295","1235","35440","34290"
"In post","2022","Digital, Data and Technology","AA/AO","670","650","21910","21300"
"In post","2022","Digital, Data and Technology","EO","3475","3330","27740","27570"
"In post","2022","Digital, Data and Technology","G6/G7","5600","5505","58570","57050"
"In post","2022","Digital, Data and Technology","SCS level","290","285","91930","87250"
"In post","2022","Digital, Data and Technology","SEO/HEO","9945","9695","37810","37210"
"In post","2022","Digital, Data and Technology","Unknown","40","40","35070","32300"
"In post","2022","Economics","AA/AO","75","75","22130","22460"
"In post","2022","Economics","EO","145","145","27010","27270"
"In post","2022","Economics","G6/G7","910","880","59960","57850"
"In post","2022","Economics","SCS level","90","85","92290","81770"
"In post","2022","Economics","SEO/HEO","870","860","35500","34320"
"In post","2022","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","AA/AO","985","880","22000","21380"
"In post","2022","Finance","EO","2375","2265","26940","26670"
"In post","2022","Finance","G6/G7","2740","2670","58910","57460"
"In post","2022","Finance","SCS level","335","330","88310","80790"
"In post","2022","Finance","SEO/HEO","5815","5630","37510","36650"
"In post","2022","Finance","Unknown","75","75","48730","42050"
"In post","2022","Geography","AA/AO","70","70","20470","20420"
"In post","2022","Geography","EO","155","145","27540","26740"
"In post","2022","Geography","G6/G7","10","10","55880","53720"
"In post","2022","Geography","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Geography","SEO/HEO","245","235","35630","33290"
"In post","2022","Human Resources","AA/AO","1230","1125","21980","21380"
"In post","2022","Human Resources","EO","1730","1625","27390","26930"
"In post","2022","Human Resources","G6/G7","2095","2030","58050","56860"
"In post","2022","Human Resources","SCS level","230","225","86580","79620"
"In post","2022","Human Resources","SEO/HEO","4290","4095","36560","36050"
"In post","2022","Human Resources","Unknown","35","35","43550","43470"
"In post","2022","Inspector of Education and Training","G6/G7","540","530","75390","75500"
"In post","2022","Inspector of Education and Training","SCS level","10","10","[c]","[c]"
"In post","2022","Inspector of Education and Training","SEO/HEO","385","370","50370","51360"
"In post","2022","Intelligence Analysis","AA/AO","120","105","23290","21820"
"In post","2022","Intelligence Analysis","EO","1585","1495","27700","27370"
"In post","2022","Intelligence Analysis","G6/G7","230","225","59670","58350"
"In post","2022","Intelligence Analysis","SCS level","20","20","80740","78010"
"In post","2022","Intelligence Analysis","SEO/HEO","1275","1240","37060","36500"
"In post","2022","Intelligence Analysis","Unknown","10","10","[c]","[c]"
"In post","2022","Internal Audit","AA/AO","30","25","27680","25520"
"In post","2022","Internal Audit","EO","40","40","27410","26670"
"In post","2022","Internal Audit","G6/G7","210","200","58610","57200"
"In post","2022","Internal Audit","SCS level","30","30","92370","88120"
"In post","2022","Internal Audit","SEO/HEO","465","440","40470","40520"
"In post","2022","International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","EO","105","105","27390","26510"
"In post","2022","International Trade","G6/G7","670","665","56200","53600"
"In post","2022","International Trade","SCS level","120","115","82590","75040"
"In post","2022","International Trade","SEO/HEO","740","730","36330","37930"
"In post","2022","Knowledge and Information Management","AA/AO","370","350","22280","21380"
"In post","2022","Knowledge and Information Management","EO","580","545","27730","27570"
"In post","2022","Knowledge and Information Management","G6/G7","320","315","57700","55650"
"In post","2022","Knowledge and Information Management","SCS level","20","20","87310","82000"
"In post","2022","Knowledge and Information Management","SEO/HEO","1050","1015","36650","35980"
"In post","2022","Knowledge and Information Management","Unknown","35","35","35560","33000"
"In post","2022","Legal","AA/AO","270","240","22380","22080"
"In post","2022","Legal","EO","1855","1780","28350","26940"
"In post","2022","Legal","G6/G7","6265","5795","59430","58040"
"In post","2022","Legal","SCS level","395","385","87930","82720"
"In post","2022","Legal","SEO/HEO","3890","3670","39490","38000"
"In post","2022","Legal","Unknown","5","5","[c]","[c]"
"In post","2022","Medicine","AA/AO","350","320","22730","23280"
"In post","2022","Medicine","EO","310","275","31850","31530"
"In post","2022","Medicine","G6/G7","755","650","73780","75970"
"In post","2022","Medicine","SCS level","340","300","106180","101430"
"In post","2022","Medicine","SEO/HEO","760","685","40050","39030"
"In post","2022","Operational Delivery","AA/AO","103150","91965","22980","21640"
"In post","2022","Operational Delivery","EO","85240","78265","28140","27570"
"In post","2022","Operational Delivery","G6/G7","8035","7835","58690","55330"
"In post","2022","Operational Delivery","SCS level","875","850","91470","83280"
"In post","2022","Operational Delivery","SEO/HEO","38225","36450","36970","35380"
"In post","2022","Operational Delivery","Unknown","19470","18030","30110","28200"
"In post","2022","Operational Research","AA/AO","35","35","22730","21840"
"In post","2022","Operational Research","EO","50","50","28390","27560"
"In post","2022","Operational Research","G6/G7","500","470","55630","55210"
"In post","2022","Operational Research","SCS level","15","15","81850","78520"
"In post","2022","Operational Research","SEO/HEO","530","515","37100","38070"
"In post","2022","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other","AA/AO","10555","9785","21390","21260"
"In post","2022","Other","EO","8750","8295","27220","27570"
"In post","2022","Other","G6/G7","2080","2010","60100","57430"
"In post","2022","Other","SCS level","325","315","96500","88020"
"In post","2022","Other","SEO/HEO","6705","6455","36210","35110"
"In post","2022","Other","Unknown","1960","1955","37450","34160"
"In post","2022","Planning","AA/AO","10","10","23280","22960"
"In post","2022","Planning","EO","25","25","27550","27850"
"In post","2022","Planning","G6/G7","75","70","58640","59660"
"In post","2022","Planning","SCS level","5","5","[c]","[c]"
"In post","2022","Planning","SEO/HEO","110","105","38750","39100"
"In post","2022","Planning Inspectors","G6/G7","360","320","56940","58810"
"In post","2022","Planning Inspectors","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectors","SEO/HEO","15","10","32780","32780"
"In post","2022","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Policy","AA/AO","655","625","23730","24250"
"In post","2022","Policy","EO","2755","2675","28110","27920"
"In post","2022","Policy","G6/G7","13110","12715","58190","56730"
"In post","2022","Policy","SCS level","1910","1840","85320","77730"
"In post","2022","Policy","SEO/HEO","14475","14115","37190","36720"
"In post","2022","Policy","Unknown","55","50","63110","53360"
"In post","2022","Project Delivery","AA/AO","470","395","22090","21260"
"In post","2022","Project Delivery","EO","1410","1325","26930","26780"
"In post","2022","Project Delivery","G6/G7","4740","4625","57640","55210"
"In post","2022","Project Delivery","SCS level","370","365","90490","84220"
"In post","2022","Project Delivery","SEO/HEO","8400","8070","37280","37640"
"In post","2022","Project Delivery","Unknown","500","485","45020","41540"
"In post","2022","Property","AA/AO","985","920","20200","19810"
"In post","2022","Property","EO","1535","1450","27290","26880"
"In post","2022","Property","G6/G7","1515","1475","58420","57150"
"In post","2022","Property","SCS level","90","90","89640","84120"
"In post","2022","Property","SEO/HEO","3430","3295","37740","36500"
"In post","2022","Property","Unknown","45","45","22430","21600"
"In post","2022","Psychology","AA/AO","85","75","21680","21590"
"In post","2022","Psychology","EO","415","405","27100","26850"
"In post","2022","Psychology","G6/G7","120","115","64740","65520"
"In post","2022","Psychology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","SEO/HEO","895","860","37080","33120"
"In post","2022","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","AA/AO","1105","1075","21810","22180"
"In post","2022","Science and Engineering","EO","1975","1925","26150","26370"
"In post","2022","Science and Engineering","G6/G7","3135","2990","55990","54560"
"In post","2022","Science and Engineering","SCS level","95","90","95200","92290"
"In post","2022","Science and Engineering","SEO/HEO","6835","6560","37160","38070"
"In post","2022","Science and Engineering","Unknown","805","795","40870","38250"
"In post","2022","Security","AA/AO","5585","5460","27010","23380"
"In post","2022","Security","EO","1055","1025","33700","29550"
"In post","2022","Security","G6/G7","510","505","59180","57680"
"In post","2022","Security","SCS level","35","35","89980","80230"
"In post","2022","Security","SEO/HEO","1915","1875","39380","37640"
"In post","2022","Security","Unknown","185","185","32860","31370"
"In post","2022","Social Research","AA/AO","15","15","23420","23970"
"In post","2022","Social Research","EO","60","60","30810","33650"
"In post","2022","Social Research","G6/G7","365","350","57590","57190"
"In post","2022","Social Research","SCS level","15","15","77710","76970"
"In post","2022","Social Research","SEO/HEO","865","830","36440","37610"
"In post","2022","Statistics","AA/AO","75","70","22340","22460"
"In post","2022","Statistics","EO","250","240","28010","28010"
"In post","2022","Statistics","G6/G7","775","740","58190","57850"
"In post","2022","Statistics","SCS level","55","55","84820","78830"
"In post","2022","Statistics","SEO/HEO","1250","1210","37370","37710"
"In post","2022","Tax","AA/AO","3400","3180","21360","21250"
"In post","2022","Tax","EO","4800","4540","27400","26820"
"In post","2022","Tax","G6/G7","3005","2880","59450","55210"
"In post","2022","Tax","SCS level","85","80","81870","78910"
"In post","2022","Tax","SEO/HEO","8310","7950","36100","33370"
"In post","2022","Unknown","AA/AO","4840","4560","23100","22140"
"In post","2022","Unknown","EO","5435","5265","28110","27500"
"In post","2022","Unknown","G6/G7","8095","7890","61710","61710"
"In post","2022","Unknown","SCS level","1220","1195","97030","86390"
"In post","2022","Unknown","SEO/HEO","12635","12335","36910","36130"
"In post","2022","Unknown","Unknown","10","10","30700","29360"
"In post","2022","Veterinarian","AA/AO","5","5","[c]","[c]"
"In post","2022","Veterinarian","EO","15","15","24970","24920"
"In post","2022","Veterinarian","G6/G7","135","130","55170","54360"
"In post","2022","Veterinarian","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","SEO/HEO","260","245","39810","37530"
"Leaver CS","2022","Commercial","AA/AO","30","[c]","21300","21400"
"Leaver CS","2022","Commercial","EO","60","[c]","25390","25970"
"Leaver CS","2022","Commercial","G6/G7","75","[c]","58870","58690"
"Leaver CS","2022","Commercial","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","SEO/HEO","230","[c]","36780","36780"
"Leaver CS","2022","Commercial","Unknown","10","[c]","44710","42870"
"Leaver CS","2022","Communications","AA/AO","25","[c]","21980","21520"
"Leaver CS","2022","Communications","EO","75","[c]","27440","27460"
"Leaver CS","2022","Communications","G6/G7","65","[c]","60270","59360"
"Leaver CS","2022","Communications","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2022","Communications","SEO/HEO","190","[c]","38010","37390"
"Leaver CS","2022","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","AA/AO","80","[c]","21620","21260"
"Leaver CS","2022","Counter Fraud","EO","130","[c]","27770","27570"
"Leaver CS","2022","Counter Fraud","G6/G7","10","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","SEO/HEO","60","[c]","36890","36060"
"Leaver CS","2022","Digital, Data and Technology","AA/AO","100","[c]","21170","21170"
"Leaver CS","2022","Digital, Data and Technology","EO","230","[c]","27280","26930"
"Leaver CS","2022","Digital, Data and Technology","G6/G7","360","[c]","59480","58090"
"Leaver CS","2022","Digital, Data and Technology","SCS level","25","[c]","98420","97750"
"Leaver CS","2022","Digital, Data and Technology","SEO/HEO","670","[c]","38300","37910"
"Leaver CS","2022","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Economics","AA/AO","75","[c]","21300","19610"
"Leaver CS","2022","Economics","EO","15","[c]","[c]","[c]"
"Leaver CS","2022","Economics","G6/G7","35","[c]","59170","58120"
"Leaver CS","2022","Economics","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Economics","SEO/HEO","60","[c]","36300","34870"
"Leaver CS","2022","Finance","AA/AO","80","[c]","21880","21630"
"Leaver CS","2022","Finance","EO","145","[c]","26180","26670"
"Leaver CS","2022","Finance","G6/G7","125","[c]","59060","57020"
"Leaver CS","2022","Finance","SCS level","30","[c]","89900","88220"
"Leaver CS","2022","Finance","SEO/HEO","275","[c]","38000","36480"
"Leaver CS","2022","Finance","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","Geography","AA/AO","5","[c]","[c]","[c]"
"Leaver CS","2022","Geography","EO","10","[c]","[c]","[c]"
"Leaver CS","2022","Geography","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Geography","SEO/HEO","20","[c]","37230","35210"
"Leaver CS","2022","Human Resources","AA/AO","115","[c]","21720","21210"
"Leaver CS","2022","Human Resources","EO","135","[c]","26000","26890"
"Leaver CS","2022","Human Resources","G6/G7","105","[c]","57430","55980"
"Leaver CS","2022","Human Resources","SCS level","20","[c]","92510","83760"
"Leaver CS","2022","Human Resources","SEO/HEO","225","[c]","37450","36630"
"Leaver CS","2022","Inspector of Education and Training","G6/G7","65","[c]","76370","75500"
"Leaver CS","2022","Inspector of Education and Training","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Inspector of Education and Training","SEO/HEO","55","[c]","49600","51360"
"Leaver CS","2022","Intelligence Analysis","AA/AO","10","[c]","24530","25630"
"Leaver CS","2022","Intelligence Analysis","EO","80","[c]","27780","27370"
"Leaver CS","2022","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","SEO/HEO","50","[c]","37180","36460"
"Leaver CS","2022","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","EO","5","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","G6/G7","10","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","SEO/HEO","40","[c]","37920","34000"
"Leaver CS","2022","International Trade","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","EO","35","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","G6/G7","35","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","SEO/HEO","25","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","AA/AO","40","[c]","21490","21270"
"Leaver CS","2022","Knowledge and Information Management","EO","135","[c]","25770","25080"
"Leaver CS","2022","Knowledge and Information Management","G6/G7","75","[c]","55740","54070"
"Leaver CS","2022","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","SEO/HEO","190","[c]","35850","36330"
"Leaver CS","2022","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","AA/AO","10","[c]","[c]","[c]"
"Leaver CS","2022","Legal","EO","25","[c]","30400","29140"
"Leaver CS","2022","Legal","G6/G7","340","[c]","58890","55610"
"Leaver CS","2022","Legal","SCS level","35","[c]","96610","93000"
"Leaver CS","2022","Legal","SEO/HEO","100","[c]","41750","39960"
"Leaver CS","2022","Medicine","AA/AO","50","[c]","22810","23280"
"Leaver CS","2022","Medicine","EO","70","[c]","30680","31530"
"Leaver CS","2022","Medicine","G6/G7","65","[c]","72820","75970"
"Leaver CS","2022","Medicine","SCS level","120","[c]","101050","101430"
