"Status","Year","Region_ITL2","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Bedfordshire and Hertfordshire","AA/AO","Female","Heterosexual / straight","460","420","23870","23230"
"In post","2022","Bedfordshire and Hertfordshire","AA/AO","Female","LGBO","35","35","25540","24850"
"In post","2022","Bedfordshire and Hertfordshire","AA/AO","Female","Undeclared","55","50","23770","23230"
"In post","2022","Bedfordshire and Hertfordshire","AA/AO","Female","Unknown","105","90","24100","23230"
"In post","2022","Bedfordshire and Hertfordshire","AA/AO","Male","Heterosexual / straight","355","350","25880","24920"
"In post","2022","Bedfordshire and Hertfordshire","AA/AO","Male","LGBO","20","20","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","AA/AO","Male","Undeclared","35","35","25540","23720"
"In post","2022","Bedfordshire and Hertfordshire","AA/AO","Male","Unknown","120","120","25950","24920"
"In post","2022","Bedfordshire and Hertfordshire","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","EO","Female","Heterosexual / straight","715","655","28670","29290"
"In post","2022","Bedfordshire and Hertfordshire","EO","Female","LGBO","30","25","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","EO","Female","Undeclared","65","60","29790","29290"
"In post","2022","Bedfordshire and Hertfordshire","EO","Female","Unknown","135","120","29270","29290"
"In post","2022","Bedfordshire and Hertfordshire","EO","Male","Heterosexual / straight","470","455","29270","29290"
"In post","2022","Bedfordshire and Hertfordshire","EO","Male","LGBO","35","35","28930","29290"
"In post","2022","Bedfordshire and Hertfordshire","EO","Male","Undeclared","70","65","29490","29170"
"In post","2022","Bedfordshire and Hertfordshire","EO","Male","Unknown","90","85","29390","29290"
"In post","2022","Bedfordshire and Hertfordshire","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
