"Status","Year","Responsibility_level_grouped","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","AA/AO","AA","Female","9030","7775","20590","20890"
"In post","2022","AA/AO","AA","Male","9655","9160","20730","20890"
"In post","2022","AA/AO","AO","Female","68510","58990","22480","21300"
"In post","2022","AA/AO","AO","Male","49970","47870","24380","21840"
"In post","2022","EO","EO","Female","74880","67600","27770","27570"
"In post","2022","EO","EO","Male","56385","54400","28270","27570"
"In post","2022","EO","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","G6","Female","9115","8625","68510","66980"
"In post","2022","G6/G7","G6","Male","9980","9760","69480","67910"
"In post","2022","G6/G7","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","G7","Female","24815","23590","54950","54240"
"In post","2022","G6/G7","G7","Male","25530","25070","55740","54940"
"In post","2022","G6/G7","G7","Unknown","5","5","[c]","[c]"
"In post","2022","SCS level","SCS level","Female","3405","3250","88210","80290"
"In post","2022","SCS level","SCS level","Male","3815","3745","93030","84560"
"In post","2022","SEO/HEO","HEO","Female","43515","41220","33510","33300"
"In post","2022","SEO/HEO","HEO","Male","39525","38640","34180","33370"
"In post","2022","SEO/HEO","HEO","Unknown","5","5","[c]","[c]"
"In post","2022","SEO/HEO","SEO","Female","29345","27885","41500","40520"
"In post","2022","SEO/HEO","SEO","Male","29130","28515","42370","40830"
"In post","2022","SEO/HEO","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Female","15435","14240","30140","28200"
"In post","2022","Unknown","Unknown","Male","8015","7730","34470","32090"
"Leaver CS","2022","AA/AO","AA","Female","1355","[c]","19510","19200"
"Leaver CS","2022","AA/AO","AA","Male","1415","[c]","19890","19270"
"Leaver CS","2022","AA/AO","AO","Female","7985","[c]","21670","21260"
"Leaver CS","2022","AA/AO","AO","Male","6650","[c]","22790","21260"
