"Status","Year","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","AA/AO","Female","Heterosexual / straight","49075","42380","22190","21260"
"In post","2022","AA/AO","Female","LGBO","3010","2855","23280","21680"
"In post","2022","AA/AO","Female","Undeclared","6475","5415","22150","21380"
"In post","2022","AA/AO","Female","Unknown","18985","16115","22310","21260"
"In post","2022","AA/AO","Male","Heterosexual / straight","37320","35815","23840","21680"
"In post","2022","AA/AO","Male","LGBO","2385","2310","22980","21260"
"In post","2022","AA/AO","Male","Undeclared","4670","4410","23920","21680"
"In post","2022","AA/AO","Male","Unknown","15250","14495","23750","21680"
"In post","2022","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","EO","Female","Heterosexual / straight","51625","46690","27720","27570"
"In post","2022","EO","Female","LGBO","2760","2655","27840","27570"
"In post","2022","EO","Female","Undeclared","5985","5335","27840","27570"
"In post","2022","EO","Female","Unknown","14505","12920","27910","27570"
"In post","2022","EO","Male","Heterosexual / straight","36700","35525","28210","27570"
"In post","2022","EO","Male","LGBO","2765","2700","27800","27570"
"In post","2022","EO","Male","Undeclared","5265","4995","28460","27570"
"In post","2022","EO","Male","Unknown","11650","11180","28470","27570"
"In post","2022","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Female","Heterosexual / straight","23875","22660","58550","56220"
"In post","2022","G6/G7","Female","LGBO","1305","1275","57670","54860"
"In post","2022","G6/G7","Female","Undeclared","2710","2580","58970","56640"
"In post","2022","G6/G7","Female","Unknown","6045","5705","58770","57170"
"In post","2022","G6/G7","Male","Heterosexual / straight","23140","22715","59660","57530"
"In post","2022","G6/G7","Male","LGBO","2020","2000","58950","57240"
"In post","2022","G6/G7","Male","Undeclared","3375","3290","60010","57780"
"In post","2022","G6/G7","Male","Unknown","6975","6830","59390","57480"
"In post","2022","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","SCS level","Female","Heterosexual / straight","2490","2375","87450","80000"
"In post","2022","SCS level","Female","LGBO","125","120","86340","78000"
"In post","2022","SCS level","Female","Undeclared","255","245","86130","80850"
"In post","2022","SCS level","Female","Unknown","535","515","93180","83230"
"In post","2022","SCS level","Male","Heterosexual / straight","2620","2580","92240","83850"
"In post","2022","SCS level","Male","LGBO","240","240","87680","80000"
"In post","2022","SCS level","Male","Undeclared","305","300","91690","83780"
"In post","2022","SCS level","Male","Unknown","645","630","98890","91000"
"In post","2022","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Female","Heterosexual / straight","51415","48660","36830","36010"
"In post","2022","SEO/HEO","Female","LGBO","3100","3030","36390","35180"
"In post","2022","SEO/HEO","Female","Undeclared","6025","5675","37230","36500"
"In post","2022","SEO/HEO","Female","Unknown","12320","11745","36160","35050"
"In post","2022","SEO/HEO","Male","Heterosexual / straight","45460","44495","37850","37040"
"In post","2022","SEO/HEO","Male","LGBO","3295","3250","36710","35900"
"In post","2022","SEO/HEO","Male","Undeclared","6795","6600","38170","37480"
"In post","2022","SEO/HEO","Male","Unknown","13105","12810","36920","36180"
"In post","2022","SEO/HEO","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Heterosexual / straight","11115","10275","30480","28200"
"In post","2022","Unknown","Female","LGBO","700","680","29590","27060"
"In post","2022","Unknown","Female","Undeclared","850","780","32110","31420"
"In post","2022","Unknown","Female","Unknown","2765","2510","28330","26310"
"In post","2022","Unknown","Male","Heterosexual / straight","4395","4245","34380","31420"
"In post","2022","Unknown","Male","LGBO","330","320","30500","27060"
"In post","2022","Unknown","Male","Undeclared","535","510","36890","37140"
"In post","2022","Unknown","Male","Unknown","2755","2650","34640","32550"
"In post","2022","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Female","Heterosexual / straight","4580","[c]","21390","21260"
"Leaver CS","2022","AA/AO","Female","LGBO","410","[c]","21370","21260"
"Leaver CS","2022","AA/AO","Female","Undeclared","600","[c]","21300","21260"
"Leaver CS","2022","AA/AO","Female","Unknown","3755","[c]","21370","21260"
"Leaver CS","2022","AA/AO","Male","Heterosexual / straight","4315","[c]","22260","21260"
